"ARETE","AÑO","Estado","SEXO","RAZA","COLOR","MIC_VG"
"152-12","2018","PT","H","HU","B","-0.155"
"573-12","2018","PT","H","HU","B","-0.1381"
"103-18","2018","PT","H","HU","B","-0.1366"
"109-07","2018","PT","H","HU","B","-0.1324"
"008-09","2018","PT","H","HU","B","-0.1317"
"144-08","2018","PT","H","HU","B","-0.1313"
"156-10","2018","PT","H","HU","B","-0.1237"
"246-18","2018","PT","H","HU","B","-0.1078"
"631-17","2018","PT","H","HU","B","-0.1064"
"167-16","2018","PT","H","HU","B","-0.1032"
"448-16","2018","PT","H","HU","B","-0.0824"
"302-16","2018","PT","H","HU","B","-0.0728"
"463-13","2018","PT","H","HU","B","-0.0716"
"337-17","2018","PT","H","HU","B","-0.0622"
"291-08","2018","PT","H","HU","B","-0.0607"
"089-17","2018","PT","H","HU","B","-0.0541"
"328-16","2018","PT","H","HU","B","-0.0532"
"204-16","2018","PT","H","HU","B","-0.0519"
"552-16","2018","PT","H","HU","B","-0.0295"
"391-08","2018","PT","H","HU","B","-0.0046"
"073-13","2018","PT","H","HU","B","-0.0031"
"370-16","2018","PT","H","HU","B","-0.0028"
"483-17","2018","PT","H","HU","B","-0.0005"
"066-18","2018","PT","H","HU","B","-0.0001"
"636-18MP","2018","PT","M","HU","B","0"
"586-14MP","2018","PT","M","HU","B","0"
"720-13MP","2018","PT","M","HU","B","0"
"120-18M","2018","PT","M","HU","B","0.0053"
"423-13","2018","PT","H","HU","B","0.0075"
"038-14","2018","PT","H","HU","B","0.0317"
"524-12","2018","PT","H","HU","B","0.0371"
"109-02","2018","PT","H","HU","B","0.0423"
"057-10","2018","PT","H","HU","B","0.0706"
"335-08","2018","PT","H","HU","B","0.0726"
"040-17","2018","PT","H","HU","B","0.0872"
"477-08","2018","PT","H","HU","B","0.0932"
"223-17","2018","PT","H","HU","B","0.0986"
"564-18","2018","PT","H","HU","B","0.1188"
"127-07","2018","PT","H","HU","B","0.1465"
"095-09","2018","PT","H","HU","B","0.1604"
"421-08","2018","PT","H","HU","B","0.1634"
"033-08","2018","PT","H","HU","B","0.1644"
"352-10","2018","PT","H","HU","B","0.169"
"102-12","2018","PT","H","HU","B","0.1715"
"562-17","2018","PT","H","HU","B","0.1743"
"269-18M","2018","PT","M","HU","B","0.1753"
"065-11","2018","PT","H","HU","B","0.1778"
"577-12","2018","PT","H","HU","B","0.1955"
"446-18","2018","PT","H","HU","B","0.2016"
"211-16","2018","PT","H","HU","B","0.2027"
"431-08","2018","PT","H","HU","B","0.207"
"022-17","2018","PT","H","HU","B","0.2083"
"071-09","2018","PT","H","HU","B","0.257"
"074-18","2018","PT","H","HU","B","0.2699"
"107-08","2018","PT","H","HU","B","0.2759"
"264-13","2018","PT","H","HU","B","0.3059"
"521-12","2018","PT","H","HU","B","0.3061"
"566-16","2018","PT","H","HU","B","0.3072"
